"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ITC","EQ","07-Oct-2024","503.55","507.00","514.95","506.75","510.00","510.20","511.03","1,64,79,772","8,42,16,88,874.45","2,16,682","77,25,735","46.88"
"ITC","EQ","08-Oct-2024","510.20","510.00","512.55","506.00","508.50","507.95","508.84","95,02,367","4,83,52,22,369.05","1,40,127","56,30,193","59.25"
"ITC","EQ","09-Oct-2024","507.95","509.80","509.80","490.55","492.50","491.70","499.12","2,39,52,459","11,95,51,85,952.75","2,78,280","1,49,72,422","62.51"
"ITC","EQ","10-Oct-2024","491.70","495.35","495.65","489.45","493.00","492.05","492.72","1,27,99,333","6,30,64,80,747.25","1,99,193","67,92,403","53.07"
"ITC","EQ","11-Oct-2024","492.05","493.00","493.95","487.40","488.95","488.20","489.06","1,43,94,986","7,03,99,78,268.90","1,58,339","94,06,797","65.35"
"ITC","EQ","14-Oct-2024","488.20","491.00","499.00","488.65","496.75","496.95","495.16","67,12,103","3,32,35,90,493.55","1,28,200","35,10,780","52.31"
"ITC","EQ","15-Oct-2024","496.95","498.00","499.40","494.50","498.00","498.55","497.33","80,37,662","3,99,73,96,320.95","1,18,170","57,03,322","70.96"
"ITC","EQ","16-Oct-2024","498.55","496.00","498.85","492.35","493.10","493.20","495.30","66,82,083","3,30,96,53,123.20","1,17,691","38,54,424","57.68"
"ITC","EQ","17-Oct-2024","493.20","495.00","495.00","488.00","489.00","488.90","490.71","73,85,299","3,62,40,29,088.45","1,06,788","40,96,098","55.46"
"ITC","EQ","18-Oct-2024","488.90","488.75","491.55","478.40","486.15","486.70","482.63","2,17,78,099","10,51,08,19,521.05","1,89,101","1,44,81,644","66.50"
"ITC","EQ","21-Oct-2024","486.70","486.70","487.60","477.35","483.10","483.65","483.40","73,95,274","3,57,48,75,531.85","1,35,775","41,29,781","55.84"
"ITC","EQ","22-Oct-2024","483.65","483.65","488.40","480.80","482.50","481.80","483.80","1,22,99,288","5,95,04,54,269.80","1,94,079","86,27,959","70.15"
"ITC","EQ","23-Oct-2024","481.80","481.00","483.30","479.50","480.70","480.35","480.88","1,01,62,570","4,88,70,14,877.45","1,30,143","67,93,788","66.85"
"ITC","EQ","24-Oct-2024","480.35","482.00","482.40","470.00","470.70","471.70","474.32","1,30,92,399","6,20,99,65,225.20","2,40,152","83,81,883","64.02"
"ITC","EQ","25-Oct-2024","471.70","475.80","493.50","474.20","482.25","482.30","486.29","3,09,61,625","15,05,62,61,874.00","3,79,810","1,15,84,087","37.41"
"ITC","EQ","28-Oct-2024","482.30","481.95","485.90","476.00","484.00","484.15","482.79","86,14,446","4,15,89,85,648.85","1,13,970","44,84,756","52.06"
"ITC","EQ","29-Oct-2024","484.15","485.00","489.20","481.30","488.00","487.95","486.12","68,66,704","3,33,80,33,179.65","1,11,564","38,84,092","56.56"
"ITC","EQ","30-Oct-2024","487.95","487.95","493.25","486.50","491.80","491.55","490.85","63,93,835","3,13,83,98,995.85","92,835","39,89,218","62.39"
"ITC","EQ","31-Oct-2024","491.55","492.00","493.00","484.70","489.25","488.80","487.80","78,10,874","3,81,01,27,063.40","1,61,609","46,80,175","59.92"
"ITC","EQ","01-Nov-2024","488.80","491.00","492.10","489.30","489.95","490.30","490.89","14,61,602","71,74,91,831.90","54,687","7,81,794","53.49"
"ITC","EQ","04-Nov-2024","490.30","493.45","493.45","479.55","485.25","484.60","483.55","84,29,731","4,07,61,59,422.90","1,70,904","49,97,006","59.28"
"ITC","EQ","05-Nov-2024","484.60","482.95","485.05","476.95","480.95","480.20","479.98","73,27,830","3,51,72,42,119.05","1,50,450","41,25,133","56.29"
"ITC","EQ","06-Nov-2024","480.20","480.20","484.40","478.00","481.95","481.10","480.83","1,13,13,985","5,44,01,09,205.55","1,40,673","72,42,449","64.01"
"ITC","EQ","07-Nov-2024","481.10","481.75","482.70","476.10","478.00","477.90","477.82","89,24,280","4,26,41,65,090.20","1,32,407","53,93,508","60.44"
