"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"KTKBANK","EQ","07-Oct-2024","229.28","229.05","229.98","219.67","223.00","222.52","223.25","28,37,768","63,35,26,184.35","41,774","18,46,462","65.07"
"KTKBANK","EQ","08-Oct-2024","222.52","222.59","225.00","220.67","224.01","222.60","222.10","20,91,605","46,45,48,258.62","28,866","12,93,864","61.86"
"KTKBANK","EQ","09-Oct-2024","222.60","225.00","228.30","224.00","224.10","224.67","225.89","13,17,389","29,75,86,087.47","17,635","7,95,318","60.37"
"KTKBANK","EQ","10-Oct-2024","224.67","225.40","230.00","224.95","229.12","228.17","227.05","7,92,055","17,98,37,059.36","11,021","4,85,211","61.26"
"KTKBANK","EQ","11-Oct-2024","228.17","228.30","229.95","226.39","227.97","228.20","228.29","5,51,819","12,59,72,606.75","12,234","2,46,858","44.74"
"KTKBANK","EQ","14-Oct-2024","228.20","230.47","230.47","226.00","226.58","226.89","227.50","5,78,545","13,16,16,129.82","11,507","3,07,974","53.23"
"KTKBANK","EQ","15-Oct-2024","226.89","228.75","229.00","224.90","226.80","226.92","226.09","8,94,190","20,21,66,943.86","20,547","5,37,395","60.10"
"KTKBANK","EQ","16-Oct-2024","226.92","225.00","231.99","224.00","231.06","230.45","227.50","12,14,783","27,63,64,559.64","19,432","7,14,263","58.80"
"KTKBANK","EQ","17-Oct-2024","230.45","229.98","229.98","226.00","227.76","227.74","227.40","5,66,564","12,88,36,235.77","13,131","2,83,719","50.08"
"KTKBANK","EQ","18-Oct-2024","227.74","226.81","226.81","222.10","223.15","222.50","223.25","19,05,330","42,53,56,021.54","26,314","13,15,075","69.02"
"KTKBANK","EQ","21-Oct-2024","222.50","223.00","223.90","216.05","216.92","216.83","218.32","23,37,715","51,03,71,285.12","45,016","17,47,199","74.74"
